repository_name,state,triage_state,created_at,expiration_date,severity,remediation_window,rule_name
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.lang.security.audit.hardcoded-hmac-key.hardcoded-hmac-key
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.lang.security.audit.hardcoded-hmac-key.hardcoded-hmac-key
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.lang.security.audit.prototype-pollution.prototype-pollution-loop.prototype-pollution-loop
